endTime,artistName,trackName,msPlayed
4/24/19 3:35,Julia Jacklin,Pressure To Party,127274
4/24/19 3:38,Julia Jacklin,Pressure To Party,182306
4/24/19 3:39,Julia Jacklin,Don't Know How To Keep Loving You,5298
4/24/19 3:41,Julia Jacklin,You Were Right,142386
4/24/19 3:48,Julia Jacklin,Turn Me Down,349626
4/24/19 3:51,Julia Jacklin,Comfort,187773
4/24/19 3:55,Julia Jacklin,Small Talk,210220
4/24/19 3:58,Adrianne Lenker,symbol,229133
4/24/19 4:00,Lucy Dacus,...Familiar Place,101832
4/24/19 14:27,Lucy Dacus,My Mother & I,279032
4/24/19 14:27,Lucy Dacus,Addictions,13824
4/24/19 14:32,Lucy Dacus,My Mother & I,279032
4/24/19 14:35,Snail Mail,Pristine,1237
4/24/19 14:35,Better Oblivion Community Center,Dylan Thomas,1173
4/24/19 14:35,Lucy Dacus,Timefighter,1194
4/24/19 14:35,Soccer Mommy,Your Dog,10862
4/24/19 14:35,Phoebe Bridgers,Scott Street,1600
4/24/19 14:35,Lucy Dacus,Addictions,204125
4/24/19 14:36,Kississippi,Cut Yr Teeth,17322
4/24/19 14:42,Black Belt Eagle Scout,Soft Stud,368063
4/24/19 14:46,Black Belt Eagle Scout,Indians Never Die,270871
4/24/19 14:49,Black Belt Eagle Scout,Loss & Relax,130015
4/24/19 20:55,Lizzo,Tempo (feat. Missy Elliott),137898
4/24/19 21:02,Lizzo,Cuz I Love You,179978
4/24/19 21:03,Lizzo,Good as Hell,3841
4/24/19 21:07,Lizzo,Like a Girl,184857
4/24/19 21:10,Lizzo,Juice,195333
4/24/19 21:13,Lizzo,Soulmate,175234
4/24/19 21:17,Lizzo,Jerome,231570
4/24/19 21:19,Lizzo,Crybaby,175952
4/24/19 21:22,Lizzo,Tempo (feat. Missy Elliott),175342
4/24/19 21:25,Lizzo,Exactly How I Feel (feat. Gucci Mane),143190
4/24/19 21:27,Lizzo,Better in Color,133058
4/24/19 21:29,Lizzo,Heaven Help Me,133832
4/25/19 11:35,Lizzo,Cuz I Love You,179978
4/25/19 11:38,Lizzo,Like a Girl,184857
4/25/19 11:41,Lizzo,Juice,195333
4/25/19 11:44,Lizzo,Soulmate,175234
4/25/19 11:48,Lizzo,Crybaby,6016
4/25/19 11:48,Lizzo,Jerome,231570
4/25/19 20:44,PUP,Morbid Stuff,164600
4/25/19 20:47,PUP,Kids,210160
4/25/19 20:50,PUP,Free at Last,154813
4/25/19 21:23,PUP,See You at Your Funeral,220133
4/25/19 21:28,PUP,Scorpion Hill,308133
4/25/19 21:31,PUP,Closure,188413
4/25/19 21:34,PUP,"Bloody Mary, Kate and Ashley",164040
